tenure,InternetService,Contract,MonthlyCharges,Churn
51,Fiber optic,Month-to-month,79.15,0
15,Fiber optic,Month-to-month,75.65,1
64,Fiber optic,Month-to-month,94.25,0
37,DSL,Month-to-month,40.2,0
13,No,Two year,19.95,0
49,DSL,One year,55.35,0
45,Fiber optic,One year,102.15,0
18,Fiber optic,Month-to-month,71.1,0
1,Fiber optic,Month-to-month,74.7,1
68,DSL,Two year,54.1,0
54,No,Two year,19.65,0
23,Fiber optic,Month-to-month,88.45,0
17,Fiber optic,Month-to-month,76.65,1
71,DSL,Two year,80.4,0
67,No,Two year,19.25,0
14,Fiber optic,Month-to-month,84.8,0
1,DSL,Month-to-month,25.8,1
63,No,Two year,19.5,0
41,DSL,One year,68.6,0
17,Fiber optic,Month-to-month,92.6,0
56,Fiber optic,One year,100.55,0
5,No,Month-to-month,20.55,0
2,DSL,Month-to-month,42.6,1
3,No,Month-to-month,19.6,0
37,DSL,One year,67.45,0
29,DSL,Month-to-month,68.85,1
8,DSL,Month-to-month,43.55,0
63,Fiber optic,Month-to-month,109.85,0
7,No,Month-to-month,20.65,0
3,Fiber optic,Month-to-month,95.4,0
72,No,Two year,21.0,0
19,DSL,Month-to-month,56.2,0
59,No,Two year,18.4,0
2,Fiber optic,Month-to-month,90.0,1
35,No,Month-to-month,25.75,0
14,No,Month-to-month,19.6,0
14,Fiber optic,Month-to-month,75.35,1
69,No,Two year,19.8,0
7,DSL,Month-to-month,64.2,0
69,DSL,Two year,75.75,0
72,DSL,Two year,78.95,0
8,Fiber optic,Month-to-month,100.85,1
4,DSL,Month-to-month,50.3,0
63,Fiber optic,Month-to-month,80.3,0
72,No,Two year,19.85,0
46,No,Two year,21.1,0
5,Fiber optic,Month-to-month,69.95,1
30,DSL,Month-to-month,50.0,0
63,Fiber optic,Two year,104.75,0
60,No,Two year,19.85,0
63,Fiber optic,One year,107.5,1
25,Fiber optic,Month-to-month,85.9,0
1,DSL,Month-to-month,45.85,1
6,Fiber optic,Month-to-month,80.8,0
22,No,Two year,25.25,0
31,DSL,Two year,80.55,0
39,Fiber optic,Month-to-month,81.5,0
26,No,Month-to-month,20.9,0
53,Fiber optic,One year,106.1,1
1,Fiber optic,Month-to-month,91.7,1
12,DSL,Month-to-month,67.25,0
16,Fiber optic,Month-to-month,95.6,1
2,No,Month-to-month,20.35,0
39,DSL,One year,45.05,0
1,Fiber optic,Month-to-month,74.95,1
7,DSL,Month-to-month,34.65,0
4,Fiber optic,Month-to-month,69.35,0
10,Fiber optic,Month-to-month,95.35,1
55,Fiber optic,Month-to-month,81.55,0
72,DSL,Two year,75.4,0
10,DSL,Month-to-month,67.8,0
11,Fiber optic,Month-to-month,111.4,0
15,DSL,Month-to-month,46.3,0
23,No,Two year,20.4,0
1,No,Month-to-month,20.05,0
3,DSL,Month-to-month,45.0,1
47,Fiber optic,One year,96.1,0
15,No,One year,19.65,0
66,Fiber optic,Month-to-month,99.5,1
68,DSL,One year,60.65,0
17,Fiber optic,One year,98.6,1
7,DSL,Month-to-month,59.5,1
12,Fiber optic,Month-to-month,80.45,1
21,DSL,One year,71.7,0
21,DSL,Month-to-month,36.0,0
56,DSL,One year,65.2,0
6,DSL,Month-to-month,48.95,0
65,DSL,Two year,53.5,0
42,DSL,One year,80.45,0
68,Fiber optic,Two year,109.05,0
48,No,Two year,26.3,0
50,Fiber optic,One year,106.8,0
7,DSL,Month-to-month,64.95,0
63,No,Two year,19.35,0
17,No,Month-to-month,21.1,0
42,Fiber optic,Month-to-month,77.95,1
4,No,Month-to-month,18.85,0
62,No,Two year,26.0,0
2,Fiber optic,Month-to-month,74.7,1
2,Fiber optic,Month-to-month,70.35,0
48,Fiber optic,Two year,96.9,0
27,No,Two year,19.55,0
70,DSL,Two year,80.4,0
1,Fiber optic,Month-to-month,88.8,1
46,Fiber optic,One year,94.65,0
30,Fiber optic,Month-to-month,90.25,1
15,DSL,Month-to-month,64.65,1
69,Fiber optic,One year,95.75,0
65,No,Two year,19.55,0
72,Fiber optic,Two year,104.1,0
13,Fiber optic,Month-to-month,89.05,1
17,No,One year,20.1,0
51,Fiber optic,One year,111.55,0
51,DSL,Two year,60.5,0
72,DSL,Two year,90.95,0
67,Fiber optic,One year,87.4,1
34,No,Month-to-month,19.7,0
67,DSL,Two year,50.95,0
49,No,One year,20.05,0
53,No,Two year,19.4,0
27,DSL,Month-to-month,59.45,0
23,Fiber optic,Month-to-month,94.75,1
69,DSL,Two year,81.5,0
2,DSL,Month-to-month,29.05,0
35,Fiber optic,Month-to-month,86.45,1
46,DSL,One year,70.6,0
54,Fiber optic,Two year,97.2,0
56,Fiber optic,One year,98.25,1
9,Fiber optic,Month-to-month,75.75,1
20,DSL,Month-to-month,59.2,0
11,Fiber optic,Month-to-month,75.9,0
30,Fiber optic,Month-to-month,90.05,0
68,DSL,Two year,70.95,0
38,Fiber optic,Month-to-month,102.6,0
17,Fiber optic,Month-to-month,85.35,1
48,Fiber optic,One year,106.1,1
1,DSL,Month-to-month,43.8,0
63,DSL,Two year,59.0,0
3,DSL,One year,69.95,0
48,No,One year,24.35,0
66,DSL,One year,29.45,0
68,Fiber optic,Two year,84.4,0
17,DSL,Month-to-month,45.05,1
7,No,One year,20.65,0
72,DSL,Two year,87.1,0
29,No,Month-to-month,19.85,0
37,Fiber optic,Month-to-month,90.35,0
34,Fiber optic,Month-to-month,109.8,1
42,Fiber optic,Month-to-month,84.65,1
59,DSL,One year,65.5,0
11,Fiber optic,Month-to-month,79.5,1
60,Fiber optic,Month-to-month,80.95,0
27,DSL,Month-to-month,56.15,0
1,Fiber optic,Month-to-month,85.8,1
1,Fiber optic,Month-to-month,79.1,1
17,DSL,Month-to-month,34.4,0
58,No,Two year,20.75,0
1,No,One year,18.8,0
3,DSL,Month-to-month,44.3,1
53,Fiber optic,Month-to-month,90.8,0
35,No,Month-to-month,25.6,0
50,Fiber optic,Month-to-month,105.95,1
68,DSL,Two year,70.8,0
47,No,Month-to-month,25.4,0
65,Fiber optic,Month-to-month,108.8,0
5,Fiber optic,Month-to-month,69.75,1
51,Fiber optic,Month-to-month,94.65,1
46,Fiber optic,Month-to-month,96.05,1
9,Fiber optic,Month-to-month,76.85,0
8,No,Two year,20.25,0
14,No,One year,24.8,0
45,Fiber optic,Month-to-month,115.65,0
8,Fiber optic,Month-to-month,74.6,0
1,DSL,Month-to-month,50.15,1
66,Fiber optic,One year,103.15,0
72,DSL,Two year,72.1,0
41,Fiber optic,Month-to-month,113.6,1
23,No,Two year,25.1,0
29,Fiber optic,Month-to-month,78.9,1
4,Fiber optic,Month-to-month,80.15,0
6,No,Two year,25.4,0
67,Fiber optic,One year,105.4,0
7,DSL,Month-to-month,45.75,0
56,No,One year,24.45,0
72,No,Two year,25.0,0
72,DSL,Two year,85.25,0
23,No,Two year,19.6,0
35,DSL,Month-to-month,50.15,0
27,Fiber optic,Month-to-month,70.55,0
26,DSL,Month-to-month,60.05,1
12,No,One year,26.4,0
40,No,Two year,20.15,0
7,DSL,Month-to-month,58.85,0
70,Fiber optic,Month-to-month,97.55,0
60,No,Two year,19.65,0
39,DSL,One year,25.25,0
72,Fiber optic,Two year,114.45,0
1,DSL,Month-to-month,34.7,1
54,DSL,One year,70.7,0
3,Fiber optic,Month-to-month,85.3,1
63,DSL,Two year,75.55,0
71,Fiber optic,Two year,84.8,0
42,No,One year,20.65,0
47,No,Two year,20.45,0
66,Fiber optic,One year,102.45,1
21,Fiber optic,Month-to-month,104.4,1
11,DSL,Month-to-month,35.65,0
1,Fiber optic,Month-to-month,99.75,1
55,Fiber optic,Month-to-month,90.45,0
69,Fiber optic,Two year,97.65,0
3,Fiber optic,Month-to-month,73.85,0
4,DSL,Month-to-month,74.4,1
30,DSL,Two year,69.1,0
5,Fiber optic,Month-to-month,82.75,0
71,No,Two year,24.4,0
29,DSL,One year,55.25,0
52,DSL,Month-to-month,61.35,0
68,DSL,One year,76.75,0
46,No,Two year,19.4,0
8,DSL,Month-to-month,54.75,0
72,No,Two year,19.7,0
17,No,One year,19.9,0
3,Fiber optic,Month-to-month,107.95,0
2,Fiber optic,Month-to-month,83.8,0
9,Fiber optic,Month-to-month,74.25,1
51,DSL,One year,56.4,0
6,No,Two year,20.1,0
3,Fiber optic,Month-to-month,94.9,0
17,Fiber optic,Month-to-month,94.2,0
30,DSL,Month-to-month,49.9,0
31,DSL,Month-to-month,71.05,0
45,DSL,Two year,81.65,0
64,Fiber optic,One year,89.45,0
1,DSL,Month-to-month,59.85,1
1,Fiber optic,Month-to-month,69.6,1
61,Fiber optic,One year,99.0,0
1,No,Month-to-month,19.05,0
9,DSL,Month-to-month,45.4,1
72,Fiber optic,Two year,114.45,0
1,No,Month-to-month,19.5,1
7,DSL,Month-to-month,44.25,0
66,Fiber optic,One year,90.55,0
1,Fiber optic,Month-to-month,69.9,1
40,No,Month-to-month,20.4,0
16,DSL,Month-to-month,71.4,0
2,Fiber optic,Month-to-month,87.15,1
67,No,Two year,24.85,0
41,Fiber optic,One year,104.45,0
56,No,Two year,19.8,0
72,Fiber optic,Two year,116.45,0
3,Fiber optic,Month-to-month,84.75,1
54,No,Two year,20.05,0
52,Fiber optic,Month-to-month,110.75,0
50,Fiber optic,Two year,89.7,0
14,Fiber optic,Month-to-month,89.95,1
27,DSL,One year,48.7,0
72,Fiber optic,Two year,96.6,0
62,DSL,One year,74.3,0
12,DSL,Month-to-month,54.3,0
44,DSL,One year,74.85,0
54,Fiber optic,Two year,79.95,0
68,No,Two year,20.05,0
20,No,Month-to-month,19.4,0
50,DSL,One year,54.9,0
58,No,Two year,24.45,0
35,Fiber optic,Month-to-month,89.65,0
2,DSL,Month-to-month,45.4,0
63,DSL,Two year,75.7,0
58,Fiber optic,One year,110.65,0
27,No,One year,20.55,0
71,Fiber optic,Two year,115.15,0
63,DSL,One year,58.55,0
71,Fiber optic,Month-to-month,93.25,0
41,Fiber optic,Month-to-month,113.2,1
13,Fiber optic,Month-to-month,90.5,1
2,Fiber optic,Month-to-month,79.0,1
68,No,Two year,19.35,0
1,DSL,Month-to-month,48.75,0
65,Fiber optic,Two year,109.05,0
72,No,Two year,25.0,0
28,DSL,Month-to-month,54.9,0
72,No,Two year,24.75,0
2,Fiber optic,Month-to-month,91.15,0
18,No,One year,20.15,1
60,Fiber optic,One year,104.35,0
26,DSL,Month-to-month,66.05,0
1,Fiber optic,Month-to-month,71.65,1
4,No,Month-to-month,20.35,1
68,DSL,Two year,92.2,0
38,Fiber optic,Month-to-month,84.25,1
42,Fiber optic,One year,105.2,0
57,No,Two year,19.6,0
54,DSL,Month-to-month,30.4,0
12,Fiber optic,Month-to-month,78.1,1
44,DSL,One year,61.5,0
42,DSL,Month-to-month,69.4,0
72,No,Two year,24.75,0
71,DSL,Two year,91.05,0
19,Fiber optic,Month-to-month,89.65,1
23,DSL,Month-to-month,73.65,0
30,No,Two year,19.4,0
35,No,One year,26.2,0
10,Fiber optic,Month-to-month,98.7,1
1,DSL,Month-to-month,43.85,0
22,Fiber optic,Month-to-month,69.7,0
7,DSL,Two year,38.55,0
36,DSL,Two year,53.1,0
34,No,Month-to-month,20.65,0
72,DSL,Two year,64.45,0
36,No,Two year,25.1,0
1,Fiber optic,Month-to-month,76.35,1
23,Fiber optic,Month-to-month,79.15,1
32,Fiber optic,Month-to-month,85.0,1
71,Fiber optic,One year,95.15,0
23,Fiber optic,Month-to-month,79.35,0
17,Fiber optic,One year,96.65,0
1,DSL,Month-to-month,75.5,0
12,No,Two year,19.7,0
72,No,Two year,20.5,0
1,No,Month-to-month,19.2,0
72,Fiber optic,Two year,98.35,0
60,Fiber optic,Month-to-month,74.35,0
61,DSL,Two year,51.35,0
6,DSL,Month-to-month,45.65,0
32,Fiber optic,Month-to-month,85.3,1
31,Fiber optic,Month-to-month,86.55,1
19,Fiber optic,Month-to-month,73.85,1
72,No,Two year,20.3,0
32,DSL,Month-to-month,54.2,0
65,Fiber optic,Month-to-month,90.65,0
45,DSL,Month-to-month,50.9,0
42,No,One year,25.05,0
8,Fiber optic,Month-to-month,74.85,0
32,No,Two year,20.5,0
22,DSL,Month-to-month,63.55,0
57,DSL,Month-to-month,44.85,1
1,DSL,Month-to-month,47.95,0
1,DSL,Month-to-month,45.1,1
1,DSL,Month-to-month,45.0,0
24,Fiber optic,Month-to-month,96.0,1
1,No,Month-to-month,20.05,1
54,Fiber optic,Month-to-month,90.05,0
4,No,Two year,25.3,0
65,Fiber optic,Two year,108.65,1
56,No,One year,24.3,0
45,DSL,Month-to-month,75.95,0
71,No,Two year,19.7,0
59,DSL,One year,66.4,0
69,DSL,One year,35.75,0
19,No,One year,18.8,0
55,No,Two year,19.4,0
38,No,One year,19.3,0
10,DSL,Month-to-month,45.55,1
47,DSL,Month-to-month,67.45,0
2,DSL,Month-to-month,35.1,1
1,DSL,Month-to-month,46.2,1
1,DSL,Month-to-month,45.15,1
1,DSL,Month-to-month,43.3,1
46,No,Two year,20.1,0
38,DSL,Month-to-month,57.15,1
65,DSL,Two year,58.9,0
19,Fiber optic,Month-to-month,73.2,1
52,Fiber optic,Month-to-month,85.35,1
71,No,Two year,19.45,0
1,DSL,Month-to-month,45.95,1
52,DSL,Month-to-month,50.5,0
6,No,One year,25.1,0
26,DSL,One year,60.7,0
48,Fiber optic,One year,99.0,0
64,Fiber optic,One year,104.4,0
3,Fiber optic,Month-to-month,83.75,1
1,DSL,Month-to-month,44.05,0
72,No,Two year,24.1,0
1,DSL,Month-to-month,45.55,0
51,Fiber optic,Month-to-month,93.8,0
41,No,Two year,19.7,0
72,DSL,Two year,70.65,0
43,DSL,Two year,86.45,0
72,Fiber optic,Two year,114.1,0
47,Fiber optic,One year,95.2,0
72,DSL,Two year,88.55,0
3,No,Month-to-month,20.75,0
1,Fiber optic,Month-to-month,70.05,1
2,Fiber optic,Month-to-month,86.0,1
26,DSL,Month-to-month,44.65,0
29,DSL,Month-to-month,60.2,0
35,Fiber optic,Month-to-month,100.5,1
27,DSL,One year,55.45,0
24,DSL,Month-to-month,70.3,0
67,DSL,Two year,60.4,0
16,Fiber optic,Month-to-month,72.65,1
23,DSL,One year,55.8,0
14,DSL,Month-to-month,31.1,0
1,No,Month-to-month,21.0,1
1,DSL,Month-to-month,45.1,1
4,DSL,Month-to-month,50.95,0
16,DSL,Month-to-month,69.1,0
46,DSL,Month-to-month,43.95,0
68,DSL,Two year,86.5,0
38,DSL,Month-to-month,69.95,0
30,DSL,Month-to-month,50.4,1
5,Fiber optic,Month-to-month,78.95,1
17,Fiber optic,Month-to-month,90.95,0
4,No,Two year,19.9,0
12,No,One year,20.15,0
72,DSL,Two year,90.6,0
3,Fiber optic,Month-to-month,92.0,0
56,Fiber optic,Month-to-month,94.45,1
41,No,One year,24.85,0
40,DSL,One year,36.0,0
7,DSL,Month-to-month,78.5,0
69,No,Two year,19.95,0
7,No,One year,20.65,0
5,DSL,Month-to-month,30.5,0
72,Fiber optic,Two year,106.1,0
44,No,One year,20.5,0
65,Fiber optic,One year,95.5,0
3,DSL,Month-to-month,64.6,0
24,DSL,Month-to-month,51.1,0
44,Fiber optic,Month-to-month,84.8,1
72,DSL,Two year,89.1,0
24,DSL,Month-to-month,54.95,0
1,DSL,Month-to-month,50.9,1
22,No,Month-to-month,20.45,0
70,DSL,Two year,85.95,0
25,DSL,Month-to-month,60.35,0
37,No,Two year,19.8,0
22,Fiber optic,Month-to-month,85.35,0
59,DSL,Two year,72.1,0
49,Fiber optic,Month-to-month,99.8,1
47,Fiber optic,Month-to-month,107.35,1
31,No,Month-to-month,19.55,1
1,Fiber optic,Month-to-month,81.05,0
3,No,Month-to-month,20.5,0
53,Fiber optic,One year,111.8,0
1,No,Month-to-month,20.2,0
20,No,One year,19.7,0
3,Fiber optic,Month-to-month,79.1,1
51,No,One year,19.85,0
51,DSL,One year,60.5,0
13,No,Two year,19.55,0
1,No,Month-to-month,20.9,0
1,No,Month-to-month,21.05,0
63,DSL,One year,71.5,0
3,DSL,Month-to-month,54.65,0
46,No,Two year,19.2,0
1,DSL,Month-to-month,49.8,0
8,DSL,Month-to-month,25.5,1
71,No,Two year,20.5,0
55,Fiber optic,Month-to-month,90.4,0
70,Fiber optic,One year,90.25,0
2,Fiber optic,Month-to-month,80.75,1
67,Fiber optic,Two year,104.6,0
65,Fiber optic,Month-to-month,91.85,1
14,DSL,Month-to-month,50.2,0
20,Fiber optic,Month-to-month,95.5,0
1,Fiber optic,Month-to-month,75.35,1
1,Fiber optic,Month-to-month,75.45,1
49,Fiber optic,Month-to-month,95.4,0
72,Fiber optic,Two year,101.3,0
46,DSL,Month-to-month,53.1,0
24,Fiber optic,Month-to-month,84.85,0
5,DSL,Month-to-month,34.25,0
33,Fiber optic,Month-to-month,88.6,0
42,DSL,One year,60.15,0
23,Fiber optic,One year,99.95,0
8,Fiber optic,Month-to-month,70.7,0
66,DSL,One year,54.8,0
24,DSL,Month-to-month,49.55,1
24,DSL,Month-to-month,54.8,0
69,DSL,One year,78.6,1
53,Fiber optic,One year,100.3,0
60,DSL,Two year,53.6,0
7,Fiber optic,Month-to-month,81.1,1
20,No,One year,19.35,0
23,Fiber optic,Month-to-month,85.6,0
72,DSL,Two year,80.8,0
11,Fiber optic,Month-to-month,74.95,1
21,No,Two year,19.6,0
1,Fiber optic,Month-to-month,93.55,1
31,Fiber optic,Month-to-month,90.7,0
57,DSL,Two year,69.75,0
45,No,Two year,20.0,0
10,Fiber optic,Month-to-month,95.25,0
58,Fiber optic,Month-to-month,102.1,1
14,No,Month-to-month,19.95,0
27,DSL,One year,80.85,0
14,Fiber optic,Month-to-month,90.9,1
12,DSL,Month-to-month,29.2,1
69,Fiber optic,Two year,93.3,0
25,Fiber optic,Month-to-month,89.15,1
58,Fiber optic,One year,108.85,1
35,DSL,Two year,46.35,0
16,Fiber optic,Month-to-month,84.75,1
45,DSL,One year,78.75,0
17,Fiber optic,Month-to-month,83.55,0
1,DSL,Month-to-month,45.7,1
22,No,One year,19.6,0
1,Fiber optic,Month-to-month,69.95,1
67,DSL,Two year,67.85,0
67,Fiber optic,Two year,105.65,0
2,DSL,Month-to-month,44.6,1
23,Fiber optic,Month-to-month,74.95,1
9,Fiber optic,Month-to-month,75.5,0
5,No,Month-to-month,20.15,0
54,DSL,Two year,45.2,0
57,Fiber optic,Two year,95.25,1
24,Fiber optic,Month-to-month,89.85,1
49,Fiber optic,One year,100.45,1
5,DSL,Month-to-month,47.15,1
2,Fiber optic,Month-to-month,80.2,1
4,Fiber optic,Month-to-month,87.1,1
70,DSL,Two year,79.25,0
5,Fiber optic,Month-to-month,75.9,1
53,DSL,Month-to-month,85.7,0
47,Fiber optic,Month-to-month,98.75,1
31,No,One year,20.1,0
13,DSL,Month-to-month,61.8,0
28,DSL,Month-to-month,49.9,0
10,Fiber optic,Month-to-month,86.45,1
38,No,Two year,20.4,0
1,DSL,Month-to-month,45.3,1
67,Fiber optic,One year,104.1,1
52,DSL,One year,75.4,0
62,Fiber optic,Two year,108.15,0
16,Fiber optic,Month-to-month,86.25,0
5,Fiber optic,Month-to-month,81.0,1
12,Fiber optic,One year,95.7,0
72,Fiber optic,Two year,116.85,0
71,Fiber optic,One year,105.75,0
24,No,One year,20.15,0
15,No,Two year,19.6,0
67,Fiber optic,One year,90.6,1
2,DSL,Month-to-month,60.95,0
5,DSL,Month-to-month,25.05,0
15,Fiber optic,Month-to-month,88.15,1
1,No,Month-to-month,20.2,1
41,DSL,One year,60.3,0
43,DSL,Month-to-month,63.95,0
1,Fiber optic,Month-to-month,74.3,0
1,Fiber optic,Month-to-month,70.6,0
26,Fiber optic,Month-to-month,90.8,1
22,Fiber optic,Month-to-month,79.35,1
71,DSL,Two year,90.55,0
7,No,Two year,19.45,0
28,DSL,Month-to-month,64.45,0
16,Fiber optic,Month-to-month,69.65,0
7,No,One year,19.5,0
69,Fiber optic,Two year,110.5,0
1,DSL,Month-to-month,24.7,0
3,DSL,Month-to-month,77.4,0
21,Fiber optic,Month-to-month,96.8,1
69,Fiber optic,Month-to-month,85.4,0
71,DSL,Two year,47.6,0
69,No,Two year,19.4,0
48,Fiber optic,Month-to-month,103.85,0
47,Fiber optic,Month-to-month,83.35,1
2,DSL,Month-to-month,49.4,1
45,Fiber optic,Month-to-month,108.45,0
51,Fiber optic,Month-to-month,81.0,0
22,DSL,Month-to-month,79.2,1
72,DSL,Two year,86.65,0
37,Fiber optic,Month-to-month,92.95,0
71,DSL,Two year,90.35,0
7,DSL,Month-to-month,48.7,1
66,No,Two year,25.15,0
51,DSL,One year,76.4,0
30,No,One year,19.55,0
34,Fiber optic,Month-to-month,85.35,0
64,No,Two year,24.8,0
65,Fiber optic,One year,103.15,0
47,Fiber optic,Month-to-month,100.75,0
1,Fiber optic,Month-to-month,95.6,1
49,DSL,Month-to-month,59.75,1
67,Fiber optic,Two year,94.1,0
39,No,One year,19.35,0
14,No,Month-to-month,19.9,0
43,Fiber optic,Month-to-month,108.15,1
56,Fiber optic,Month-to-month,101.05,0
14,DSL,One year,59.1,0
1,Fiber optic,Month-to-month,71.35,1
16,DSL,One year,55.85,0
70,Fiber optic,Month-to-month,106.05,0
72,DSL,Two year,84.1,0
23,Fiber optic,Month-to-month,75.3,0
21,No,Month-to-month,24.7,0
1,No,Month-to-month,20.15,1
1,Fiber optic,Month-to-month,69.75,1
32,Fiber optic,Month-to-month,93.2,1
17,Fiber optic,Month-to-month,80.85,1
4,DSL,Month-to-month,33.65,1
36,DSL,One year,55.8,0
50,DSL,Two year,39.7,0
48,DSL,Month-to-month,29.5,0
50,No,Two year,20.15,0
72,DSL,Two year,79.55,0
10,No,Month-to-month,24.8,0
18,No,Month-to-month,19.65,0
1,Fiber optic,Month-to-month,79.95,1
1,No,Month-to-month,19.3,1
9,Fiber optic,Month-to-month,94.05,0
2,Fiber optic,Month-to-month,90.75,0
40,Fiber optic,Month-to-month,78.85,0
69,Fiber optic,One year,99.5,0
37,Fiber optic,One year,99.2,1
18,Fiber optic,Month-to-month,80.55,0
11,Fiber optic,Month-to-month,70.2,0
8,Fiber optic,Month-to-month,85.2,1
3,Fiber optic,Month-to-month,75.25,1
55,DSL,One year,59.45,0
33,Fiber optic,Month-to-month,93.35,0
46,DSL,Month-to-month,44.95,0
34,No,Two year,26.1,0
3,No,Month-to-month,20.2,0
30,No,Two year,21.25,0
33,DSL,One year,59.4,0
45,Fiber optic,One year,95.0,0
40,DSL,Month-to-month,61.9,0
71,Fiber optic,Two year,118.65,0
1,DSL,Month-to-month,54.35,1
72,DSL,Two year,64.45,0
22,Fiber optic,Month-to-month,80.15,0
46,No,One year,20.2,0
55,No,Two year,21.0,0
1,No,Month-to-month,20.45,0
12,DSL,One year,75.85,0
31,Fiber optic,Month-to-month,80.45,0
5,DSL,Month-to-month,24.95,1
67,DSL,Two year,75.5,0
1,DSL,Month-to-month,44.45,0
40,DSL,One year,42.35,1
41,DSL,Month-to-month,74.55,0
1,Fiber optic,Month-to-month,75.3,1
51,Fiber optic,One year,94.8,1
42,DSL,Two year,48.15,0
23,No,One year,19.65,0
1,Fiber optic,Month-to-month,70.55,1
1,No,Month-to-month,20.15,0
56,Fiber optic,Month-to-month,106.6,0
15,Fiber optic,Month-to-month,91.0,0
12,No,Two year,25.4,0
54,DSL,Two year,69.95,0
7,DSL,Month-to-month,66.85,0
33,Fiber optic,Month-to-month,86.15,1
16,No,Month-to-month,20.15,0
21,DSL,One year,64.85,0
30,DSL,Two year,74.85,0
3,DSL,Month-to-month,50.5,0
11,Fiber optic,Month-to-month,72.9,0
62,Fiber optic,One year,115.05,0
18,No,Month-to-month,19.0,0
6,No,Month-to-month,19.55,0
46,Fiber optic,One year,101.1,0
21,Fiber optic,Month-to-month,84.1,0
68,No,Two year,24.15,0
1,DSL,Month-to-month,50.1,0
25,Fiber optic,Month-to-month,74.6,0
24,No,Two year,19.75,0
30,Fiber optic,Month-to-month,85.0,1
2,Fiber optic,Month-to-month,80.55,1
51,Fiber optic,One year,106.8,0
57,DSL,Two year,84.5,0
15,No,Two year,25.05,0
72,DSL,Two year,83.7,0
2,Fiber optic,Month-to-month,75.8,1
28,Fiber optic,Month-to-month,96.6,0
29,Fiber optic,Month-to-month,98.5,1
70,Fiber optic,Two year,101.1,0
13,No,One year,20.2,0
59,Fiber optic,One year,94.05,0
13,Fiber optic,Month-to-month,95.25,1
7,Fiber optic,Month-to-month,74.4,1
62,DSL,Two year,81.0,0
21,DSL,One year,60.25,0
2,DSL,Month-to-month,60.85,0
1,DSL,Month-to-month,43.95,0
4,Fiber optic,Month-to-month,86.05,0
19,No,One year,20.25,0
30,Fiber optic,Month-to-month,85.15,1
67,No,Two year,19.4,0
72,Fiber optic,Two year,102.65,0
53,No,Two year,19.9,0
5,No,One year,19.55,0
71,Fiber optic,Two year,95.5,0
50,DSL,One year,84.15,0
56,Fiber optic,Two year,103.2,0
2,DSL,Month-to-month,50.2,0
2,Fiber optic,Month-to-month,88.55,1
24,DSL,Month-to-month,54.75,1
46,No,Two year,19.95,0
71,Fiber optic,Two year,116.25,0
29,DSL,Month-to-month,31.2,0
69,No,Two year,24.45,0
71,DSL,Two year,84.2,0
1,Fiber optic,Month-to-month,91.3,1
56,DSL,Two year,85.65,0
56,No,One year,21.2,0
1,Fiber optic,Month-to-month,79.5,1
28,No,One year,25.55,0
19,No,Month-to-month,20.2,0
66,DSL,Month-to-month,63.85,0
17,DSL,One year,61.95,0
52,No,Two year,25.75,0
19,DSL,One year,58.2,0
36,DSL,One year,85.85,0
7,Fiber optic,Month-to-month,70.1,1
72,Fiber optic,One year,104.9,0
67,Fiber optic,One year,111.3,1
34,Fiber optic,One year,99.85,0
57,Fiber optic,Month-to-month,95.25,1
7,Fiber optic,Month-to-month,86.25,1
1,Fiber optic,Month-to-month,100.8,1
8,No,Month-to-month,19.55,0
69,Fiber optic,Two year,104.0,0
50,Fiber optic,One year,104.4,0
10,No,One year,19.5,0
12,No,Two year,25.25,0
14,Fiber optic,Month-to-month,86.3,1
70,DSL,Two year,49.85,0
64,Fiber optic,Month-to-month,108.95,0
66,DSL,Two year,89.9,0
71,DSL,Two year,82.0,0
20,Fiber optic,Month-to-month,89.95,0
72,DSL,Two year,79.35,0
71,DSL,Two year,64.05,0
38,Fiber optic,Month-to-month,101.15,0
28,Fiber optic,Month-to-month,89.95,1
17,Fiber optic,Month-to-month,76.45,1
33,DSL,One year,39.1,0
23,DSL,Two year,34.6,0
58,No,One year,19.55,0
70,Fiber optic,Two year,104.45,0
4,Fiber optic,Month-to-month,70.5,0
45,No,Two year,20.35,0
10,Fiber optic,Month-to-month,70.0,1
36,No,Two year,19.45,0
54,DSL,Month-to-month,69.9,0
23,DSL,Two year,59.7,0
41,DSL,One year,78.35,0
5,Fiber optic,Month-to-month,71.45,0
27,DSL,One year,45.85,0
1,Fiber optic,Month-to-month,95.85,0
67,DSL,Two year,35.7,0
72,DSL,Two year,89.55,0
56,No,Two year,24.95,0
44,No,One year,24.85,0
66,Fiber optic,Month-to-month,100.8,0
34,DSL,One year,64.4,1
69,Fiber optic,Two year,105.35,0
1,Fiber optic,Month-to-month,102.45,1
40,No,Two year,19.65,0
30,DSL,Month-to-month,54.45,0
11,DSL,Month-to-month,70.5,0
15,No,One year,20.1,0
11,DSL,Month-to-month,69.35,0
64,No,One year,19.8,0
72,DSL,Two year,74.4,0
72,Fiber optic,Two year,93.05,0
1,DSL,Month-to-month,51.2,0
15,DSL,One year,65.6,0
60,DSL,One year,80.55,0
56,DSL,One year,52.7,0
8,No,Two year,20.85,0
3,Fiber optic,Month-to-month,80.1,1
49,DSL,Month-to-month,52.15,0
2,Fiber optic,Month-to-month,80.2,1
6,Fiber optic,Month-to-month,98.15,1
